"1411 - Kabinet predsednika vlade, verzija: 8"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	4	500	2000	
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	20002	"Zmogljivejši prenosni računalnik"	2	"Prenosni računalniki"	1	1200	1200	
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	40003	"LCD zaslon 202"	4	"Računalniški zasloni"	4	200	800	
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	7	30	210	"kartični telefoni (univerzalni USB modemi za prenos podatkov)"
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	9	260	2340	"mobilni telefoni"
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	5	110	550	"mobilni telefoni"
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	3	50	150	"mobilni telefoni"
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420238	"Nakup telekomunikacijske opreme"	30005	"Ostalo"	3	"Ročni računalniki"	5	150	750	
	"2825"	"Investicije in investicijsko vzdrževanje državnih organov"	420703	"Nakup licenčne programske opreme"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	1	7300	7300	
"Skupaj (EUR):"	15300											
												
"1511 - Generalni sekretariat vlade, verzija: 10"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
